RunId,iteration,Step,num_nodes,avg_node_degree,consol_levels,type_split,power_change,seed,dem_levels,Democracies,Autocracies,Grey,Democracy Level,Consolidation Level
0,0,52,50,10,0.5,0.5,0.1,42,0.05,7,11,32,0.41123151382642864,0.19927735136943137
0,0,53,50,10,0.5,0.5,0.1,42,0.05,7,10,33,0.40723151382642864,0.20127735136943137
0,0,54,50,10,0.5,0.5,0.1,42,0.05,7,11,32,0.40323151382642863,0.20327735136943137
0,0,55,50,10,0.5,0.5,0.1,42,0.05,7,10,33,0.40723151382642864,0.20127735136943137
0,0,56,50,10,0.5,0.5,0.1,42,0.05,7,11,32,0.41123151382642864,0.19527735136943136
0,0,57,50,10,0.5,0.5,0.1,42,0.05,8,9,33,0.42123151382642865,0.18927735136943136
0,0,58,50,10,0.5,0.5,0.1,42,0.05,8,8,34,0.42323151382642865,0.18927735136943136
0,0,59,50,10,0.5,0.5,0.1,42,0.05,8,8,34,0.41323151382642864,0.1923091558607863
0,0,60,50,10,0.5,0.5,0.1,42,0.05,8,8,34,0.41723151382642865,0.1863091558607863
0,0,61,50,10,0.5,0.5,0.1,42,0.05,8,8,34,0.42323151382642865,0.1803091558607863
0,0,62,50,10,0.5,0.5,0.1,42,0.05,8,9,33,0.42723151382642865,0.17430915586078632
0,0,63,50,10,0.5,0.5,0.1,42,0.05,8,9,33,0.42123151382642865,0.17030915586078632
0,0,64,50,10,0.5,0.5,0.1,42,0.05,8,8,34,0.42523151382642865,0.16830915586078632
0,0,65,50,10,0.5,0.5,0.1,42,0.05,8,8,34,0.41523151382642864,0.16630915586078632
0,0,66,50,10,0.5,0.5,0.1,42,0.05,8,10,32,0.41523151382642864,0.1603091558607863
0,0,67,50,10,0.5,0.5,0.1,42,0.05,8,9,33,0.41523151382642864,0.1603091558607863
0,0,68,50,10,0.5,0.5,0.1,42,0.05,7,9,34,0.41123151382642864,0.1523091558607863
0,0,69,50,10,0.5,0.5,0.1,42,0.05,7,9,34,0.40723151382642864,0.14430915586078633
0,0,70,50,10,0.5,0.5,0.1,42,0.05,6,9,35,0.40523151382642864,0.1523091558607863
0,0,71,50,10,0.5,0.5,0.1,42,0.05,7,9,34,0.40923151382642864,0.1463091558607863
0,0,72,50,10,0.5,0.5,0.1,42,0.05,8,9,33,0.41123151382642864,0.1523091558607863
0,0,73,50,10,0.5,0.5,0.1,42,0.05,7,8,35,0.40923151382642864,0.1563091558607863
0,0,74,50,10,0.5,0.5,0.1,42,0.05,7,7,36,0.41323151382642864,0.1563091558607863
0,0,75,50,10,0.5,0.5,0.1,42,0.05,7,8,35,0.40323151382642863,0.1523091558607863
0,0,76,50,10,0.5,0.5,0.1,42,0.05,6,8,36,0.40323151382642863,0.1483091558607863
0,0,77,50,10,0.5,0.5,0.1,42,0.05,7,7,36,0.40723151382642864,0.1463091558607863
0,0,78,50,10,0.5,0.5,0.1,42,0.05,6,7,37,0.40923151382642864,0.1423091558607863
0,0,79,50,10,0.5,0.5,0.1,42,0.05,6,8,36,0.40723151382642864,0.1463091558607863
0,0,80,50,10,0.5,0.5,0.1,42,0.05,6,7,37,0.41323151382642864,0.1503091558607863
0,0,81,50,10,0.5,0.5,0.1,42,0.05,7,7,36,0.41723151382642865,0.1443091558607863
0,0,82,50,10,0.5,0.5,0.1,42,0.05,6,7,37,0.40523151382642864,0.1443091558607863
0,0,83,50,10,0.5,0.5,0.1,42,0.05,7,8,35,0.41123151382642864,0.1443091558607863
0,0,84,50,10,0.5,0.5,0.1,42,0.05,7,8,35,0.40923151382642864,0.13230915586078631
0,0,85,50,10,0.5,0.5,0.1,42,0.05,7,9,34,0.39923151382642863,0.1283091558607863
0,0,86,50,10,0.5,0.5,0.1,42,0.05,6,9,35,0.40523151382642864,0.1303091558607863
0,0,87,50,10,0.5,0.5,0.1,42,0.05,7,6,37,0.41123151382642864,0.12430915586078631
0,0,88,50,10,0.5,0.5,0.1,42,0.05,7,7,36,0.41323151382642864,0.12230915586078632
0,0,89,50,10,0.5,0.5,0.1,42,0.05,7,7,36,0.40923151382642864,0.1185941849144989
0,0,90,50,10,0.5,0.5,0.1,42,0.05,7,7,36,0.40723151382642864,0.1185941849144989
0,0,91,50,10,0.5,0.5,0.1,42,0.05,7,7,36,0.41523151382642864,0.11259418491449891
0,0,92,50,10,0.5,0.5,0.1,42,0.05,7,7,36,0.41323151382642864,0.1145941849144989
0,0,93,50,10,0.5,0.5,0.1,42,0.05,7,8,35,0.40923151382642864,0.1185941849144989
0,0,94,50,10,0.5,0.5,0.1,42,0.05,7,6,37,0.41723151382642865,0.1145941849144989
0,0,95,50,10,0.5,0.5,0.1,42,0.05,8,6,36,0.42123151382642865,0.1105941849144989
0,0,96,50,10,0.5,0.5,0.1,42,0.05,7,6,37,0.42523151382642865,0.1085941849144989
0,0,97,50,10,0.5,0.5,0.1,42,0.05,7,5,38,0.43123151382642866,0.1085941849144989
0,0,98,50,10,0.5,0.5,0.1,42,0.05,7,5,38,0.43723151382642866,0.1025941849144989
0,0,99,50,10,0.5,0.5,0.1,42,0.05,7,5,38,0.43523151381099306,0.09859418491449891
0,0,100,50,10,0.5,0.5,0.1,42,0.05,7,5,38,0.43523151381099306,0.10030171936809755
1,0,0,50,10,0.5,0.5,0.1,42,0.1,0,48,2,0.045682105606496486,0.5292775989213968
1,0,1,50,10,0.5,0.5,0.1,42,0.1,0,48,2,0.06907741986456888,0.5649913989936195
1,0,2,50,10,0.5,0.5,0.1,42,0.1,0,48,2,0.06351059204229381,0.5958043928707836
1,0,3,50,10,0.5,0.5,0.1,42,0.1,0,47,3,0.08605915314841815,0.625767049539966
1,0,4,50,10,0.5,0.5,0.1,42,0.1,0,46,4,0.08733918050564922,0.6614838787230726
1,0,5,50,10,0.5,0.5,0.1,42,0.1,0,45,5,0.09732979078434817,0.6846344115714864
1,0,6,50,10,0.5,0.5,0.1,42,0.1,0,42,8,0.13132962594590386,0.7080406369163345
1,0,7,50,10,0.5,0.5,0.1,42,0.1,1,39,10,0.15062171175379,0.7101758154150265
1,0,8,50,10,0.5,0.5,0.1,42,0.1,1,38,11,0.1646066003270789,0.6997769550659062
