RunId,iteration,Step,num_nodes,avg_node_degree,consol_levels,type_split,power_change,seed,dem_levels,Democracies,Autocracies,Grey,Democracy Level,Consolidation Level
0,0,0,50,10,0.5,0.5,0.1,0,0.5,19,20,11,0.48752795146576317,0.5361759484997132
0,0,1,50,10,0.5,0.5,0.1,0,0.5,19,19,12,0.49653110725673355,0.5192864721278003
0,0,2,50,10,0.5,0.5,0.1,0,0.5,20,17,13,0.5196102342500041,0.5150056254439337
0,0,3,50,10,0.5,0.5,0.1,0,0.5,19,17,14,0.5131283434002728,0.5138632251229743
0,0,4,50,10,0.5,0.5,0.1,0,0.5,16,16,18,0.4875894610612934,0.49158160829245096
0,0,5,50,10,0.5,0.5,0.1,0,0.5,15,15,20,0.4848092567628624,0.46958160829245094
0,0,6,50,10,0.5,0.5,0.1,0,0.5,17,16,17,0.5069303154756244,0.4471292062607536
0,0,7,50,10,0.5,0.5,0.1,0,0.5,19,18,13,0.5125076622294349,0.43012920626075357
0,0,8,50,10,0.5,0.5,0.1,0,0.5,17,22,11,0.4617628517031477,0.42412920626075357
0,0,9,50,10,0.5,0.5,0.1,0,0.5,16,20,14,0.46866242586163637,0.45034855661117623
0,0,10,50,10,0.5,0.5,0.1,0,0.5,14,22,14,0.4552317898377575,0.4444311061594633
0,0,11,50,10,0.5,0.5,0.1,0,0.5,13,21,16,0.4620968798785744,0.4624472134511485
0,0,12,50,10,0.5,0.5,0.1,0,0.5,16,19,15,0.5096364363123681,0.4644472134511485
0,0,13,50,10,0.5,0.5,0.1,0,0.5,16,18,16,0.4718648689858506,0.45444721345114847
0,0,14,50,10,0.5,0.5,0.1,0,0.5,16,16,18,0.50393167325527,0.44244721345114846
0,0,15,50,10,0.5,0.5,0.1,0,0.5,14,17,19,0.4734519168982325,0.4357991771185449
0,0,16,50,10,0.5,0.5,0.1,0,0.5,14,18,18,0.45356643441150324,0.4233747323016128
0,0,17,50,10,0.5,0.5,0.1,0,0.5,14,19,17,0.4553401217311655,0.4183747323016128
0,0,18,50,10,0.5,0.5,0.1,0,0.5,13,19,18,0.43977631075971035,0.4223747323016128
0,0,19,50,10,0.5,0.5,0.1,0,0.5,15,18,17,0.4492134463344212,0.4153747323016128
0,0,20,50,10,0.5,0.5,0.1,0,0.5,14,18,18,0.4557383775629734,0.4143747323016128
0,0,21,50,10,0.5,0.5,0.1,0,0.5,12,18,20,0.4567697122004964,0.40759300328600595
0,0,22,50,10,0.5,0.5,0.1,0,0.5,12,20,18,0.4341838319293605,0.40570112843791756
0,0,23,50,10,0.5,0.5,0.1,0,0.5,12,16,22,0.46753203534438165,0.39181014530200015
0,0,24,50,10,0.5,0.5,0.1,0,0.5,12,15,23,0.48240051930248745,0.37781014530200013
0,0,25,50,10,0.5,0.5,0.1,0,0.5,13,16,21,0.4697490132375507,0.37681014530200013
0,0,26,50,10,0.5,0.5,0.1,0,0.5,12,15,23,0.46380009928882854,0.3648101453020001
0,0,27,50,10,0.5,0.5,0.1,0,0.5,12,15,23,0.4840836539202691,0.3668101453020001
0,0,28,50,10,0.5,0.5,0.1,0,0.5,11,16,23,0.4736399991647164,0.3688101453020001
